No,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,Default
949,31,male,2,own,moderate,NA,3621,24,radio/TV,bad,1
950,40,male,0,own,little,moderate,3590,18,business,good,0
951,24,male,2,own,little,little,2145,36,business,bad,1
952,28,female,2,rent,quite rich,moderate,4113,24,car,bad,1
953,26,female,3,own,little,NA,10974,36,furniture/equipment,bad,1
954,29,female,2,own,little,little,1893,12,car,good,0
955,57,female,3,rent,rich,little,1231,24,radio/TV,good,0
956,49,male,1,own,NA,rich,3656,30,radio/TV,good,0
957,37,male,1,own,little,moderate,1154,9,radio/TV,good,0
958,45,male,1,own,little,little,4006,28,car,bad,1
959,30,male,2,free,moderate,moderate,3069,24,furniture/equipment,good,0
960,30,male,2,rent,little,NA,1740,6,radio/TV,good,0
961,47,male,2,own,little,moderate,2353,21,car,good,0
962,29,male,2,own,NA,NA,3556,15,car,good,0
963,35,male,2,own,quite rich,NA,2397,24,radio/TV,bad,1
964,22,male,1,own,little,moderate,454,6,repairs,good,0
965,26,female,2,own,NA,moderate,1715,30,radio/TV,good,0
966,23,male,1,own,quite rich,moderate,2520,27,radio/TV,bad,1
967,54,female,3,rent,little,NA,3568,15,radio/TV,good,0
968,29,male,2,rent,NA,NA,7166,42,radio/TV,good,0
969,40,male,1,own,little,little,3939,11,car,good,0
970,22,male,2,own,moderate,moderate,1514,15,repairs,good,0
971,43,male,1,own,little,NA,7393,24,car,good,0
972,29,female,0,rent,little,little,1193,24,car,bad,1
973,36,male,2,rent,little,little,7297,60,business,bad,1
974,33,female,2,own,little,NA,2831,30,radio/TV,good,0
975,57,female,1,own,quite rich,rich,1258,24,radio/TV,good,0
976,64,female,2,own,little,moderate,753,6,radio/TV,good,0
977,42,male,2,own,NA,moderate,2427,18,business,good,0
978,47,male,1,own,little,NA,2538,24,car,bad,1
979,25,male,2,rent,moderate,moderate,1264,15,car,bad,1
980,49,male,2,own,little,moderate,8386,30,furniture/equipment,bad,1
981,33,male,3,rent,little,NA,4844,48,business,bad,1
982,28,female,3,own,moderate,rich,2923,21,car,good,0
983,26,male,2,own,little,little,8229,36,car,bad,1
984,30,male,1,own,little,NA,2028,24,furniture/equipment,good,0
985,25,female,2,rent,little,little,1433,15,furniture/equipment,good,0
986,33,male,2,own,little,rich,6289,42,business,good,0
987,64,female,2,own,moderate,NA,1409,13,radio/TV,good,0
988,29,male,3,free,little,little,6579,24,car,good,0
989,48,male,1,own,little,moderate,1743,24,radio/TV,good,0
990,37,male,1,own,NA,NA,3565,12,education,good,0
991,34,male,1,own,moderate,NA,1569,15,radio/TV,good,0
992,23,male,1,rent,NA,little,1936,18,radio/TV,good,0
993,30,male,3,own,little,little,3959,36,furniture/equipment,good,0
994,50,male,2,own,NA,NA,2390,12,car,good,0
995,31,female,1,own,little,NA,1736,12,furniture/equipment,good,0
996,40,male,3,own,little,little,3857,30,car,good,0
997,38,male,2,own,little,NA,804,12,radio/TV,good,0
998,23,male,2,free,little,little,1845,45,radio/TV,bad,1
999,27,male,2,own,moderate,moderate,4576,45,car,good,0
